Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Ripassa Valpolicella Ripasso Superiore 2016,2016,169,4.1,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/zenato-ripassa-valpolicella-ripasso-superiore/w/1380075?year=2016&price_id=23979410
Primitivo 2019,2019,79,4.1,Italy,Red wine,63.1849,44.7349,12.1643,https://www.vivino.com/DK/en/doppio-passo-primitivo/w/1141907?year=2019&price_id=24159176
Malbec 2015,2015,154.95,4.1,Argentina,Red wine,63.8428,20.1079,35.6253,https://www.vivino.com/DK/en/luigi-bosca-malbec-mendoza-red-wine/w/2141966?year=2015&price_id=23014665
Sonoma Zinfandel 2015,2015,199,4.1,United States,Red wine,85,29.5973,13.9152,https://www.vivino.com/DK/en/seghesio-winery-sonoma-zinfandel/w/6369?year=2015&price_id=14420953
The Chocolate Block 2015,2015,199.95,4.1,South Africa,Red wine,0,0,0,https://www.vivino.com/DK/en/boekenhoutskloof-the-chocolate-block/w/1128252?year=2015&price_id=22681705
Pillastro Primitivo Puglia 2019,2019,69,4.1,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/due-palme-pillastro-primitivo-puglia/w/1166209?year=2019&price_id=23556362
Crianza 2017,2017,169.95,4.1,Spain,Red wine,65.6964,11.045,60.7747,https://www.vivino.com/DK/en/tinto-pesquera-crianza/w/2317863?year=2017&price_id=23046175
Crianza 2015,2015,169.95,4.1,Spain,Red wine,65.6964,11.045,60.7747,https://www.vivino.com/DK/en/tinto-pesquera-crianza/w/2317863?year=2015&price_id=22683679
Valpolicella Ripasso (Classico Superiore) 2017,2017,139,4.1,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/tommasi-valpolicella-ripasso-classico-superiore/w/7105?year=2017&price_id=23763902
Reserve Zinfandel 2018,2018,79,4.1,United States,Red wine,75.614,37.9542,21.1417,https://www.vivino.com/DK/en/footsteps-reserve-zinfandel/w/7528655?year=2018&price_id=21603510
Angels' Share Shiraz 2018,2018,194.95,4.1,Australia,Red wine,85,20.0176,43.9457,https://www.vivino.com/DK/en/two-hands-wines-angels-share-shiraz/w/6168?year=2018&price_id=22684940
Reserva Rioja (Finca Ygay) 2016,2016,159,4.1,Spain,Red wine,0,0,0,https://www.vivino.com/DK/en/marques-de-murrieta-reserva-rioja-finca-ygay/w/10998?year=2016&price_id=23015760
Toscana Governo Rosso 2018,2018,99,4.1,Italy,Red wine,48.0688,10.4861,43.0862,https://www.vivino.com/DK/en/saracosa-toscana-governo-rosso-tuscany/w/5292597?year=2018&price_id=21562303
Alicante Bouschet 2019,2019,59,4.1,Portugal,Red wine,67.5279,15.7738,42.8706,https://www.vivino.com/DK/en/laithwaites-alicante-bouschet/w/1497540?year=2019&price_id=21872126
Gran Reserva 2013,2013,184,4.1,Spain,Red wine,64.5692,6.77169,60.255,https://www.vivino.com/DK/en/cune-cvne-gran-reserva/w/1200575?year=2013&price_id=22634639
Malbec 2013,2013,149.95,4.1,Argentina,Red wine,65.0934,20.8016,35.0756,https://www.vivino.com/DK/en/el-enemigo-malbec/w/1674523?year=2013&price_id=9505265
Lobo e Falcão Wolf & Falcon Tinto 2019,2019,79,4.1,Portugal,Red wine,66.8747,12.24,42.2958,https://www.vivino.com/DK/en/casal-branco-lobo-e-falcao-wolf-falcon-tinto/w/2468359?year=2019&price_id=21562379
Pizzella Malbec (Pizzella Family Vineyard) 2018,2018,99.95,4.1,Argentina,Red wine,65.0704,18.9837,35.0493,https://www.vivino.com/DK/en/la-posta-pizzella-malbec-pizzella-family-vineyard/w/23293?year=2018&price_id=23857870
Orion Primitivo 2018,2018,85,4.1,Italy,Red wine,65.5203,39.02,15.8864,https://www.vivino.com/DK/en/li-veli-orion-primitivo/w/15018?year=2018&price_id=20430365
Zinfandel 2016,2016,149,4.1,United States,Red wine,0,0,0,https://www.vivino.com/DK/en/bear-flag-zinfandel-sonoma-county/w/5795088?year=2016&price_id=24811036
Reserve Malbec (Barrel Selection) 2019,2019,99,4.1,Argentina,Red wine,0,0,0,https://www.vivino.com/DK/en/salentein-reserve-malbec-barrel-selection/w/1629874?year=2019&price_id=24304167
Montessu 2017,2017,149.95,4.1,Italy,Red wine,81.7845,27.7018,28.6,https://www.vivino.com/DK/en/agricola-punica-spa-montessu/w/1126888?year=2017&price_id=22788860
Massal 1945 Carmenère 2016,2016,149.95,4.1,Chile,Red wine,71.9998,13.6996,45.1754,https://www.vivino.com/DK/en/clos-de-luz-massal-1945-carmenere/w/3726697?year=2016&price_id=17843790
Palazzo della Torre 2017,2017,139.95,4.1,Italy,Red wine,66.2563,17.9546,25.6194,https://www.vivino.com/DK/en/allegrini-palazzo-della-torre/w/8184?year=2017&price_id=23563963
Zarihs Syrah 2016,2016,189.50,4.1,Spain,Red wine,69.6878,16.7547,44.1038,https://www.vivino.com/DK/en/borsao-bodegas-zarihs-syrah/w/4399827?year=2016&price_id=23350877
Appassite Negroamaro - Primitivo 2019,2019,89.17,4.1,Italy,Red wine,84.891,37.607,21.3978,https://www.vivino.com/DK/en/luna-argenta-appassite-negroamaro-primitivo/w/1509866?year=2019&price_id=21703268
Birbet N.V.,9999,139.95,4.1,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/malvira-5742-birbet/w/1127010?price_id=23015162
Cabernet Franc 2013,2013,129.95,4.1,Argentina,Red wine,0,0,0,https://www.vivino.com/DK/en/el-enemigo-cabernet-franc/w/2342297?year=2013&price_id=9505261
Tenuta San Giovanni Valdisanti 2012,2012,200,4.1,Italy,Red wine,51.891,4.50818,44.7696,https://www.vivino.com/DK/en/tolaini-tenuta-san-giovanni-valdisanti/w/1144380?year=2012&price_id=24091477
Il Rabdomante Montepulciano d'Abruzzo 2017,2017,99,4.1,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/feudi-bizantini-il-rabdomante-montepulciano-d-abruzzo/w/4500470?year=2017&price_id=22223887
