Reserva Albariño 2019,2019,115,3.9,1792,Uruguay
Viña Bosconia Reserva 2006,2006,275,4.0,1791,Spain
Gran Enemigo 2015,2015,499.95,4.5,1778,Argentina
Crianza 2016,2016,129,3.6,1773,Spain
Chablis 2017,2017,150,3.8,1772,France
Boom Boom! Syrah 2017,2017,140,3.5,1768,United States
Bourgogne 'Les Sétilles' 2018,2018,209,4.1,1762,France
Gran Enemigo Single Vineyard Agrelo Cabernet Franc 2013,2013,599.95,4.5,1753,Argentina
60 Sessantanni Old Vines Primitivo di Manduria 2017,2017,249,4.5,1751,Italy
Belleruche Côtes-du-Rhône 2019,2019,75,3.7,1750,France
Caravan Durif (a.k.a Petite Sirah) 2016,2016,109.75,3.7,1749,Australia
Viña Cubillo 2009,2009,149,3.8,1744,Spain
Ventoux Terrasses 2014,2014,79.95,3.7,1740,France
Zinfandel 2016,2016,149,4.1,1736,United States
Terroir Selection Malbec 2015,2015,235,4.0,1722,Argentina
Reserva Merlot (Classic) 2018,2018,99,3.9,1718,Chile
Pieve Santa Restituta Brunello di Montalcino 2014,2014,495,4.3,1713,Italy
Costamolino Vermentino di Sardegna 2019,2019,79,3.9,1708,Italy
Malbec 2009,2009,149.95,3.9,1708,Argentina
Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2015,2015,315,4.1,1707,France
Etna Rosso 2018,2018,169.95,3.9,1707,Italy
Double Pass Shiraz 2018,2018,79,4.0,1696,Australia
Angels' Share Shiraz 2019,2019,179.95,4.0,1691,Australia
Prazo de Roriz Douro 2016,2016,149,3.9,1687,Portugal
667 Pinot Noir 2018,2018,139,3.7,1679,United States
Tres Picos Garnacha 2018,2018,175,4.0,1679,Spain
Pinot Noir Santa Barbara County 2016,2016,395,3.9,1674,United States
Shiraz - Grenache 2019,2019,68,4.0,1662,France
Montessu 2016,2016,149.95,4.0,1657,Italy
Montebruna Barbera d'Asti 2016,2016,159.95,3.8,1652,Italy
Lugana San Benedetto 2019,2019,145,4.1,1642,Italy
Ribera del Duero Tinto 2016,2016,140,4.0,1640,Spain
Montessu 2017,2017,149.95,4.1,1628,Italy
Hermon Mount Hermon Red 2018,2018,119,3.8,1625,Israel
Barolo 2015,2015,185,3.8,1623,Italy
Passivento Rosso 2019,2019,93.17,3.9,1613,Italy
La Segreta Il Rosso 2017,2017,125,3.6,1605,Italy
Pinot Noir 2018,2018,129,3.6,1603,United States
Vintner's Reserve Cabernet Sauvignon 2017,2017,199,3.8,1599,United States
Côtes du Rhône 2015,2015,89.95,3.6,1595,France
M Malbec 2019,2019,75,3.8,1580,Argentina
Fuerza 2015,2015,99.95,3.8,1580,Spain
Brunello di Montalcino 2015,2015,399,4.4,1578,Italy
Coudoulet de Beaucastel Côtes-du-Rhône 2017,2017,310,4.0,1575,France
White Blend 2016,2016,199,3.7,1568,United States
Rouge 2018,2018,91.67,3.7,1566,France
Marius Grenache - Syrah 2019,2019,95,3.7,1564,France
Cuttings Cabernet Sauvignon 2015,2015,699,4.3,1558,United States
La Segreta Il Bianco 2016,2016,125,3.6,1557,Italy
Malbec 2015,2015,69.95,3.5,1555,Argentina
Almiréz 2015,2015,245,3.9,1553,Spain
Musar Jeune Rouge 2018,2018,129.95,3.9,1551,Lebanon
Pinot Noir 2018,2018,239,3.7,1546,United States
Dry Riesling 2018,2018,109,3.7,1544,United States
